"","Finished","Jag_Assoc","ID_JagCom","ID_JagOverlap","ID_JagAttach","ID_JagBelong","ID_JagValue","ID_JagImportant","ID_iupuiCom","ID_iupuiOverlap","ID_iupuiAttach","ID_iupuiBelong","ID_iupuiValue","ID_iupuiImportant","Jag_feelings_overall","Jag_feelings_pleasant","Jag_feelings_attractive","Future_part","Future_donate","Age","Gender","Race","iupuiStatus","iupuiStatus_other","Employment","Zip"
"1","1","3,8",5,5,5,5,7,5,6,6,6,7,7,7,7,7,7,6,6,23,2,"4",5,"",1,"46202"
"2","1","8",1,4,1,1,1,1,4,4,2,4,4,4,4,3.9,3.8,4,2,23,2,"1",5,"",2,"46202"
"3","1","8",4,4,4,4,4,4,5,5,5,5,5,5,4,4.2,4.2,4,4,27,1,"1",5,"",2,"46202"
"4","1","8",4,2,1,1,1,1,5,6,2,2,6,6,4.2,4,3.9,3,1,32,1,"4",5,"",4,"46222"
"5","1","3",1,1,1,1,1,1,6,5,5,6,5,5,4.9,5.8,3.9,1,3,19,2,"2",3,"",2,"46214"
"6","1","8",1,1,1,1,1,1,5,2,3,5,5,4,2,2,1.9,1,1,22,1,"1",5,"",2,"46131"
"7","1","8",4,4,4,2,2,2,5,5,2,2,5,3,4.8,4.6,4.6,2,1,36,2,"1",5,"",4,"46201"
"8","1","8",1,1,1,1,1,1,5,4,5,5,5,5,4,4,4,3,3,25,1,"1",5,"",3,"46225"
"9","1","3",2,5,5,5,2,1,6,6,6,6,5,5,6,7,7,6,5,25,2,"4",5,"",2,"46202"
"10","1","3,8",1,1,1,1,1,1,7,7,7,5,4,4,3,3.9,2.7,1,1,18,2,"1",1,"",2,"46202"
"11","1","1,3",1,1,1,1,1,1,6,5,5,7,7,7,4,3.5,4,1,1,23,2,"6",4,"",2,"46214"
"12","1","3",1,5,1,1,1,1,5,5,2,4,4,4,7,6,5,1,4,23,1,"1",5,"",2,"46222"
"13","1","3,8",2,1,1,1,1,1,5,5,5,6,5,5,5,5,4.5,5,5,23,1,"1",5,"",2,"46060"
"14","1","1",6,4,4,4,4,4,4,4,5,5,5,5,7,7,7,5,5,23,2,"4",5,"",2,"46217"
"15","1","1,2,3,4",5,5,1,5,6,6,7,5,6,6,6,6,1,1,1,1,3,22,1,"7",9,"",4,"46302"
"16","1","3",2,2,2,2,2,2,7,5,6,6,6,6,6,5,5.1,3,2,23,1,"1",5,"",2,"46250"
"17","1","8",4,4,4,4,4,4,6,4,4,4,4,4,4.6,5.6,4.2,3,4,22,2,"1,2",5,"",2,"46220"
"18","1","8",4,4,4,4,3,1,6,4,4,4,4,4,6.2,4.5,5.8,5,5,26,2,"4",5,"",2,"46202"
"19","1","3,8",3,3,3,3,3,2,7,6,6,6,6,6,6.1,6.2,6.4,5,6,23,2,"4",5,"",2,"94521"
"20","1","2",6,5,6,3,7,7,6,6,6,5,5,5,4.1,2.9,3.5,2,2,22,2,"1",5,"",4,"46226"
"21","1","1",4,4,2,2,2,2,6,6,6,6,5,4,5,6.1,5.3,3,3,22,2,"1",5,"",2,"47274"
"22","1","2,4,7",6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,6,5,23,2,"1",5,"",2,"47274"
"23","1","3,8",2,2,2,2,2,2,7,5,6,6,6,6,4,4,4,4,4,26,2,"1",5,"",4,"46237"
"24","1","1",2,2,2,2,2,2,7,7,7,7,7,7,4,4,5.7,2,4,24,1,"1",7,"",4,"46204"
"25","1","1,3",2,1,1,1,2,1,5,5,6,6,6,5,2.7,4.3,2.7,1,2,23,2,"1",5,"",2,"46208"
"26","1","8",1,1,1,1,1,1,6,4,7,7,4,4,5,5,6,5,6,28,2,"4",5,"",2,"46143"
"27","1","8",4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,4,25,1,"4",5,"",2,"46202"
"28","1","8",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,23.5,1,"7",5,"",4,"12345"
"29","1","8",5,5,5,5,2,2,1,1,1,1,1,1,6.1,6.3,5.9,5,3,41,1,"2",4,"",4,"46037"
"30","1","8",2,2,2,4,4,4,6,4,5,7,5,5,4,4,3,2,3,21,2,"1",3,"",3,"46074"
"31","1","3,8",3,2,1,1,1,2,7,5,7,7,5,5,4,4,5,3,2,21,2,"1",4,"",3,"46204"
"32","1","3,8",1,1,1,1,1,1,7,6,6,6,6,6,4,4,3.4,2,1,32,1,"1",5,"",2,"46202"
"33","1","3,8",2,4,1,4,1,1,4,4,4,4,4,4,4,4,4,4,2,21,2,"6",4,"",2,"46176"
"34","1","3",2,2,2,2,2,2,6,6,5,5,5,5,5,5,5,5,2,22,2,"7",4,"",4,"46033"
"35","1","2,4,5",7,6,7,1,1,1,7,5,3,3,1,1,3.8,1.8,2,2,1,20,2,"1",9,"",2,"46123"
"36","1","8",1,1,1,1,1,1,2,2,4,4,4,4,1.1,1.1,1.1,1,1,23,1,"4",4,"",2,"46202"
"37","1","3",1,1,1,1,1,1,6,3,7,7,7,3,3.2,5.1,4.1,6,5,24,2,"4",5,"",1,"46202"
"38","1","8",2,2,2,2,2,2,6,2,4,4,2,2,7,4.9,5.8,4,5,24,2,"1",9,"Alumni",4,"46143"
"39","1","8",1,1,1,2,2,2,6,6,5,5,5,2,4,4.2,3.7,1,1,34,2,"1",9,"",4,"85268"
"40","1","8",1,1,1,1,1,1,7,7,7,7,7,6,4.9,6.2,5.7,5,5,26,1,"3",5,"",1,"46204"
"41","1","8",2,2,2,2,2,2,5,3,5,5,4,4,3.5,5,3.5,3,5,26,2,"4",5,"",2,"46202"
"42","1","3",4,4,3,4,4,4,6,5,5,5,5,5,4,4.1,4.1,5,3,27,2,"1",5,"",2,"46201"
"43","1","2,4",6,6,7,7,7,7,7,7,7,7,7,7,5,4,4,4,4,24,2,"1",5,"",2,"46202"
"44","1","3",5,5,4,4,4,4,7,7,7,7,7,7,4,4,4,4,4,21,1,"4",3,"",2,"46227"
"45","1","3,8",1,1,1,1,1,1,7,7,7,7,7,7,4,4,4,2,3,33,1,"1,7",4,"",1,"46176"
"46","1","8",1,1,1,1,1,1,4,5,5,5,5,5,4,3.8,2.7,1,4,25,1,"4",5,"",1,"46202"
"47","1","3,8",1,1,1,1,1,1,7,7,7,7,7,7,4,4,3.9,1,2,33,1,"1,7",4,"",1,"46176"
"48","1","3",4,5,3,4,4,4,7,7,7,7,7,7,7,7,6.1,6,6,20,2,"1",2,"",2,"46202"
"49","1","1",6,6,5,6,5,6,7,7,7,7,7,7,7,6.9,6.7,7,7,20,2,"6",2,"",2,"46239"
"50","1","8",1,1,2,2,2,2,6,2,6,4,4,4,4,4,4,2,4,24,2,"1",5,"",2,"46216"
"51","1","8",2,2,2,2,2,2,6,6,7,6,6,6,4.6,6.4,5.1,2,3,21,2,"1",3,"",3,"46208"
"52","1","8",1,1,1,1,1,1,7,7,7,7,7,7,1.2,1,1,1,1,23,2,"1",6,"",2,"46074"
"53","1","8",1,1,1,1,1,1,3,6,1,1,1,1,4,4,4,1,4,25,2,"1",6,"",2,"46033"
"54","1","3",4,2,2,1,4,2,6,4,5,7,6,6,3.5,3.5,3.5,6,4,18,2,"6",1,"",1,"46323"
"55","1","3",5,5,5,4,2,2,7,6,6,6,6,6,6,6.2,5.8,6,6,19,2,"1",2,"",2,"46202"
"56","1","8",1,1,1,1,1,1,6,3,2,3,3,4,4,4,4.1,2,1,24,2,"1",5,"",2,"46204"
"57","1","3",1,1,1,1,1,1,5,2,4,2,4,5,4,5.5,4,1,5,24,2,"1",6,"",2,"46201"
"58","1","8",2,2,2,2,2,1,5,4,4,4,2,2,4,4,4,4,1,24,2,"1",6,"",3,"46220"
"59","1","3",4,4,4,4,4,4,6,4,6,6,6,6,3.9,3.8,3.7,4,6,20,2,"6",2,"",2,"46222"
"60","1","3",4,5,4,4,4,2,7,5,5,5,4,3,5,4.9,4.8,5,5,19,2,"1",2,"",2,"46217"
"61","1","8",1,2,2,1,1,1,2,2,3,2,5,5,3.6,5.5,3.6,1,1,26,2,"1",6,"",2,"46234"
"62","1","1",4,4,4,4,4,4,6,5,6,4,4,5,4.6,5.2,4.8,5,4,20,2,"1",2,"",2,"46936"
"63","1","8",1,1,1,1,2,1,4,4,2,5,4,5,4.5,3.7,4.2,1,1,22,2,"1",4,"",2,"46112"
"64","1","1",6,4,4,6,5,5,6,6,6,6,6,6,6.1,6.5,6.3,6,5,19,1,"1",2,"",2,"46204"
"65","1","3,8",1,4,1,2,1,1,6,4,4,5,4,5,6.2,6.2,4.3,1,3,22,2,"1",4,"",2,"46202"
"66","1","3,8",1,4,1,1,1,1,5,1,2,3,4,1,4.2,4.2,4,4,2,22,1,"1",3,"",2,"46074"
"67","1","8",1,4,1,4,1,1,6,1,2,1,1,2,7,7,7,4,4,21,1,"1",3,"",2,"46052"
"68","1","3",5,6,4,4,4,4,7,6,6,6,4,5,5.9,6.1,6.1,6,6,20,2,"6",2,"",2,"46202"
"69","1","8",4,4,4,4,4,4,6,5,4,4,4,4,4,4,5.1,5,6,18,2,"4",1,"",5,"46202"
"70","1","3,8",1,3,2,2,3,3,5,6,6,5,6,6,5.9,6,5.1,2,5,19,2,"1",2,"",2,"46060"
"71","1","3,8",2,2,2,2,2,2,6,5,5,5,5,5,5.1,5.1,5.2,5,5,18,2,"1,4",1,"",2,"46256"
"72","1","3",4,4,2,6,4,4,6,5,6,6,5,5,7,7,7,6,6,19,2,"1",1,"",2,"46202"
"73","1","8",2,3,2,2,2,2,6,6,6,6,6,6,5.1,4,4.9,4,4,26,2,"1",3,"",2,"46113"
"74","1","3",2,2,2,2,2,2,5,4,5,5,5,5,3.5,4.7,4.4,4,2,19,2,"1",1,"",2,"46385"
"75","1","8",2,2,2,2,2,2,7,4,5,5,5,5,4.1,4,4.1,5,2,38,2,"1",3,"",1,"46239"
"76","1","8",2,2,2,2,2,2,1,3,6,6,6,6,1.9,2.1,2,5,3,20,1,"1",2,"",5,"46202"
"77","1","3",4,3,2,5,4,4,6,6,7,6,6,6,1,1,1,5,6,22,2,"1",4,"",3,"46130"
"78","1","8",2,2,2,2,2,2,3,4,4,5,4,3,5,5,5,4,3,22,2,"1",3,"",2,"46033"
"79","1","8",4,4,1,4,4,1,7,1,4,6,4,1,4,4,4.1,4,7,23,2,"1,2",2,"",4,"46214"
"80","1","8",1,1,1,1,1,1,6,4,4,5,5,5,4,4,4,1,1,23.5,2,"1",3,"",3,"again, why ðŸ¤¨"
"81","1","3",3,3,5,5,3,3,7,7,7,7,7,7,6.1,6.1,7,5,7,21,2,"1",3,"",2,"47725"
"82","1","2",7,7,7,7,7,7,6,6,7,7,5,5,7,7,7,7,7,22,1,"1,2",4,"",2,"46202"
"83","1","3",2,4,4,4,4,4,2,2,3,1,4,4,6.9,6.9,7,4,4,20,2,"1",3,"",2,"46040"
"84","1","2,4,6,7",7,5,6,6,5,6,7,7,7,7,6,5,7,7,7,7,7,22,2,"1",9,"Alumni",2,"46205"
"85","1","1,2,3,4,7",7,2,7,7,7,7,7,2,7,7,7,7,7,7,7,7,7,23,2,"1",6,"",4,"46221"
"86","1","2",6,4,3,4,3,4,6,4,5,5,5,5,3.6,3.5,4.3,4,5,23,2,"1,6",5,"",4,"47041"
"87","1","1,2,3,4,6,7",7,7,7,7,7,7,7,7,7,7,7,7,5.8,5.9,6.3,7,7,23,2,"1",5,"",2,"46202"
"88","1","1,2,3,4,7",7,7,6,7,6,5,6,3,5,5,5,3,7,7,7,7,7,24,2,"1",5,"",2,"49007"
"89","1","2,4,7",7,6,7,7,6,6,6,5,6,5,3,2,7,7,6,7,7,24,1,"4",9,"Alumni",3,"46033"
"90","1","1,2,3,4,6,7",7,6,6,6,6,6,6,5,6,6,6,6,7,7,6,7,7,22,2,"1,6",9,"",4,"60657"
